code,titre,fbID,type,apropos,description,mission,categorie1,categorie2,categorie3,pays,etat,ville,adresse_courte,adresse_longue,likes,talking_about
salonMarjolaine,Marjolaine,222594254471460,commerce,"Du 3 au 11 novembre 2018 au Parc Floral de Paris, le Salon
emblématque de la bio en France : www.salon-marjolaine.com","Conviviale et éthique, à Marjolaine la Bio est d'abord une histoire humaine.Et lorsque 550 exposants engagés dans le développement durable rencontrent 75 000 consommateurs responsables, c'est aussi la planète qui respire ! ","Faire une pause gourmande au village bio et découvrir une grande sélection de produits bio fermiers introuvables en grande distribution

Rencontrer des producteurs passionnés venant des 4 coins de la France

Déguster des vins bio, dialoguer avec les vignerons et écouter les conseils d'un spécialiste lors des 2 ateliers-dégustations

Prendre soin de sa peau en toute sécurité avec des cosmétiques bio créés par des laboratoires novateurs (soins visage et corps, maquillage, déodorant, produits pour bébé et pour homme?)

Mieux affronter l'hiver par des compléments alimentaires et des complexes aromatiques

Améliorer son habitat par des produits sans toxiques : mobilier, literie, matériaux, écoproduits

Offrir éthique et écolo avec des objets déco nature, des jeux et des jouets, des bijoux, des vêtements bio et écolos, des accessoires de mode

Découvrir mille et une idées de séjours axés sur la solidarité, l'échange, le contact avec la nature et les cultures traditionnelles

Agir pour la terre grâce aux associations présentes, pour s'informer des dangers qui pèsent sur notre planète, changer nos comportements et s'investir dans la protection de l'environnement

Rencontrer des auteurs et se détendre au Café Ecolo sur le stand de Nature & Progrès ","Beauty, Cosmetic & Personal Care",Food & Beverage Company,?,France,?,Paris,Route de la pyramide,"Route de la pyramide, 75012 Paris, France",7621,15
salonnaturabio,Natura Bio,169871786432439,commerce,"Rendez-vous du 24 au 26 novembre 2017 pour la nouvelle édition du salon bio, bien-être et habitat sain NATURABIO à Lille.","Le plus grand salon bio et bien-être du Nord
Etre bien dans son corps, dans sa tête et dans son environnement est devenu une préoccupation majeure. Le recours aux aliments biologiques, aux plantes et aux produits naturels pour les soins du corps et de la maison répond parfaitement à cette aspiration

Rendez-vous au salon Natura Bio, vous y retrouverez mille idées et solutions pour être bien naturellement !","Le salon du bien-être au naturel, de l'habitat sain et des produits bio",Health/Beauty,?,?,France,?,Lille,"Grand Palais - Lille Indication GPS : 1, Boulevard des Cités-Unies","Grand Palais - Lille Indication GPS : 1, Boulevard des Cités-Unies, 59800 Lille, France",2545,13
Sante-Nature-Innovation-554178414627483,Sante Nature Innovation,554178414627483,autre,Santé Nature Innovation - Site d'informations spécialisé dans les nouveaux traitements naturels validés par la recherche scientifique. Abonnez vous à notre newsletter gratuite : http://santenatureinnovation.com/newsletter-gratuite,"La Lettre Santé Nature Innovation est LA lettre de référence sur la santé naturelle. Avec plus de 850 000 lecteurs elle est, de loin, la publication de santé naturelle la plus lue du monde francophone.

Cette lettre vous apporte directement, dans votre boîte de messagerie électronique, les conseils pour améliorer votre confort de vie (alimentation, sommeil, vitalité…) ainsi que les nouveaux traitements naturels validés par la recherche scientifique pour soulager et guérir les petits maux du quotidien comme les maladies graves.

Arthrose, diabète, douleurs, maladies cardiovasculaires, ostéoporose, dépression, problèmes de vue, de peau, cancer, toutes les maladies sont abordées, y compris celles qui sont considérées comme incurables par la médecine conventionnelle.

Vous recevez des informations cruciales pour votre santé, parfois bien avant que votre médecin lui-même ne soit informé de ces nouvelles solutions naturelles et sans effets secondaires.

Pour en savoir plus :
https://www.santenatureinnovation.com/la-lettre-sante-nature-innovation/#moz
",?,Media/News Company,Medical Company,?,Sachseln,?,Switzerland,Am Bach 3,"Am Bach 3, 6072 Sachseln, Switzerland",102944,1152
Santé-Nutrition-598338556946671,Santé Nutrition,598338556946671,top5,Que ton aliment soit ton médicament,?,?,Medical & Health,Health & Wellness Website,?,?,?,?,?,?,1067512,38373
sante.feminine,santé féminine,220723501322381,autre,?,?,?,Community,?,?,?,?,?,?,7000,187169,314
sante.medecine,Santé-Médecine,366423332673,top5,Venez découvrir toutes les actus santé-médecine et posez vos questions sur le forum ! http://sante-medecine.journaldesfemmes.fr/forum/,"Santé-médecine.net est titulaire du certificat HON (Health on The Net), gage de qualité des informations médicales et de santé publiées sur le site.",?,Health & Wellness Website,?,?,?,?,?,?,?,1220153,1974
santeicii,Santé ici,638683882980208,autre,?,?,?,Community,?,?,?,?,?,?,?,37027,1031
santemagazinefr,Santé Magazine,307638701742,autre,"Santé Magazine, le féminin qui fait du bien !","Santé Magazine, le féminin qui fait du bien !
- Une approche rassurante de la santé : plaisir et épanouissement
- Une approche bénéfique de la santé : un atout de vite important
- Une approche concrète de la santé : des solutions au quotidien
- Ethique, passion, proximité, plaisir",?,Magazine,Medical & Health,?,France,?,Paris,22 rue letellier,"22 rue letellier, 75015 Paris, France",350836,21807
santemontreal,Santé Montréal,174886875905165,gouv,Santé Montréal vise principalement à faire connaître les services offerts dans le réseau de la santé et des services sociaux montréalais.,"Le réseau montréalais de la santé et des services sociaux compte 10 établissements.

Cinq (5) centres intégrés universitaire de santé et de services sociaux (CIUSSS): 
CIUSSS de l’Ouest-de-l’Île-de-Montréal 
CIUSSS du Centre-Ouest-de-l’Île-de-Montréal 
CIUSSS du Centre-Sud-de-l’Île-de-Montréal 
CIUSSS du Nord-de-l’Île-de-Montréal 
CIUSSS de l’Est-de-l’Île-de-Montréal 

et cinq (5) établissements non fusionnés.
Pour plus d'information sur le réseau de la santé, consultez le Portail Santé Montréal: https://www.santemontreal.qc.ca/reseau-de-la-sante/les-etablissements/

Pour consulter la Nétiquette de cette page, consultez l'onglet «Articles». 

Nos sites Web:
https://www.santemontreal.qc.ca/population/
http://www.emplois.santemontreal.qc.ca http://dsp.santemontreal.qc.ca/ ",Santé Montréal vise à faire connaître les services offerts dans le réseau de la santé et des services sociaux montréalais et à partager son actualité.,Government Organization,?,?,Canada,QC,Montreal,1301 Sherbrooke Est,"1301 Sherbrooke Est, Montreal, Quebec H2L 1M3",14111,118
santenaturellemagazine,Nouvelle Santé,730420693704272,autre,Conseils - Astuces - Naturel,?,?,Magazine,?,?,?,?,?,?,?,57430,68
santeplusmag,Santé+ Magazine,260694400660026,top5,"Le magazine de la santé naturelle

https://twitter.com/santeplusmag
https://pinterest.com/santeplusmag/
https://instagram.com/santeplusmag/","Santé+ Magazine est publié par la société GAIA MEDIAS, qui édite depuis 2011 des magazines consacrés aux méthodes alternatives de traitement des maladies.

Santé+ Magazine est un magazine totalement indépendant des pouvoirs publics et des laboratoires pharmaceutiques. 

Il est rédigé par une équipe de journalistes indépendants épaulés par des scientifiques, médecins, thérapeutes et chercheurs qui partagent avec notre journal une vision holistique de la santé, qui prend en compte tous les paramètres de l’individu pour mieux vivre au quotidien.",?,Magazine,?,?,?,?,?,?,?,7645237,873655
santerecettesapp,Santé et recettes,475918582616753,autre,Santé et recettes,?,?,Community,?,?,?,?,?,?,?,61774,232
sccquebec,Société canadienne du cancer - Québec,102648612728,org,"La Société canadienne du cancer lutte pour prévenir plus de cancers, faire plus de découvertes et aider plus de personnes touchées. Sauvons + de vies.","La Société canadienne du cancer (SCC) – Division du Québec combat chaque jour cette terrible maladie en faisant tout ce qu’elle peut pour prévenir le cancer, sauver des vies et soutenir les personnes qui en sont atteintes. Au Québec, la SCC, possède un bureau divisionnaire situé à Montréal, 14 bureaux régionaux et 21 centres de services. La force de la SCC, c’est l’engagement de 200 employés, 30 000 bénévoles et 300 000 donateurs québécois, 40 000 fans Facebook et plus de 2300 abonnés Twitter.",L'éradication du cancer et l'amélioration de la qualité de vie des personnes touchées par le cancer.,Charity Organization,Nonprofit Organization,Medical & Health,Montreal,QC,Canada,5151 boulevard L'Assomption,"5151 boulevard L'Assomption, Montreal, Quebec H1T 4A9",67000,2113
sobiosolocalsopositive,"So Bio , So local, So Positive",530451643632679,autre,"Des idées, des conseils pour consommer AUTREMENT : 
RECYCLAGE RECUPERATION PRODUITS BIO IDEES ECOLOS POTAGER JARDIN FAIRE SOI MEME Alimentation DIY",?,?,Community,?,?,?,?,?,?,?,36852,3900
Societearthrite,Société de l’arthrite,141646062556362,org,"La page Facebook officielle de la Société de l’arthrite est une communauté de soutien où les Canadiens touchés par l’arthrite peuvent obtenir de l’information pour bien vivre avec l’arthrite, tisser des liens et partager leurs histoires. ","La Société de l’arthrite met des vies en mouvement depuis plus de 65 ans. Vouée à la réalisation de sa vision – bien vivre tout en créant un avenir sans arthrite –, la Société est le principal organisme caritatif canadien du domaine de la santé qui offre de l’information, des programmes et du soutien aux plus de 4,6 millions de Canadiens atteints d’arthrite.","Investir dans la recherche scientifique de pointe, la défense proactive de la cause et les solutions novatrices qui amélioreront les résultats cliniques et la qualité de vie des personnes atteintes d’arthrite.",Charity Organization,Nonprofit Organization,Public & Government Service,Montreal,QC,Canada,380 Rue Saint-Antoine O,"380 Rue Saint-Antoine O, Montreal, Quebec H2Y 3X7",7239,82
TesticulesCANFR,Cancer Testiculaire Canada,168920249918668,org,"Sensibiliser les hommes au dépistage, informer la population sur un cancer peu connu et soutenir les patients & leur entourage.La mission de CTC, c'est ça.","

Cancer testiculaire Canada est une organisation dédiée au soutien des personnes atteintes d'un cancer du testicule. Notre mission est de sensibiliser, d’informer et de soutenir les hommes atteints du cancer du testicule ou qui pourraient l’être dans le futur, et leurs familles.

","Notre mission est de venir en aide aux hommes atteints du cancer testiculaire.

Plus précisément, notre mission est de sensibiliser, d’informer et d'apporter notre soutien aux jeunes hommes atteints du cancer du testicule et leurs familles.

Ce cancer étant peu connu du grand public notre mission est également de faire connaître ses particularités et faire tomber les tabous pour favoriser un dépistage précoce. L'auto-examen messieurs sauve des vies ! 
",Charity Organization,Nonprofit Organization,Cause,Montreal,QC,Canada,?,"Montreal, Quebec",1397,8
thierry.regenere,Thierry Casasnovas - Régénère,248787861966944,autre,"Passez de la survie à la vie ! Vidéos gratuites sur les lois fondamentales du fonctionnement du corps humain. Pour sortir de l'arbitraire et du ""hasard""...","Vous êtes vous déjà demandé pourquoi on développait telle ou telle maladie ? pourquoi certains résistent bien, d'autres pas , pourquoi ça n'arrive ""qu'à moi"" ? 
Si nous ignorons les lois fondamentales de fonctionnement du corps humains et quels sont nos besoins vitaux alors il y a de fortes chances que nous commettions des erreurs...cette ""notice d'utilisation"", personne ne nous l'a donnée. Au contraire ! combien nous a t on dit que ""notre état de santé n'avait rien à voir avec l'alimentation et les conditions de vie ""...
C'est un leurre ! il a tout à y voir...Ces milliers de vidéos gratuites vous enseignent les lois fondamentales de fonctionnement de l'être humain et comment y répondre au mieux....
Car c'est tout simple: si on respecte ces lois et que l'on répond aux besoins vitaux , alors tout coule de source et c'est la pleine santé , physique, mentale, émotionnelle ....Bienvenue dans le monde de la régénération !",?,Community,?,?,?,?,?,?,?,69143,1232
topsantecom,Top Santé,177527268958875,autre,Tout pour votre santé et votre bien-être au quotidien http://www.topsante.com,"Top Santé, magazine du groupe Mondadori France, et topsante.com, son site internet, veulent rassembler la communauté des femmes qui veulent prendre soin de leur santé. A l'écoute des nouveautés en matière de santé, Top Santé propose un contenu éditorial alliant proximité et sérieux, efficacité et plaisir. 

Top Santé est centré sur des thématiques spécifiquement féminines, avec une grande place accordée à la beauté et au bien-être, ainsi qu'au bio et au naturel, toujours traités avec un prisme ""santé"". 

Retrouvez également Top Santé sur :
- Twitter : http://twitter.com/topsante
- Pinterest : http://pinterest.com/topsante
- YouTube : http://www.youtube.com/user/topsantecom
- Google+ :  http://google.com/+topsanté
- Dailymotion : http://www.dailymotion.com/TopSante
- Instagram : https://instagram.com/topsante",?,Magazine,?,?,?,?,?,?,?,143529,1668
VraiePharmacie,Vraie Pharmacie,520340101640069,autre,?,?,?,Health & Wellness Website,?,?,?,?,?,?,?,139688,82066
